search_term,app_id,title,developer,installs,n_ratings,n_reviews,score,genre
PaddyCover,team.opay.pay,OPay,OPay Digital Services Limited,"50,000,000+",1088494.0,407056,4.5106006,Finance
RelianceHMO,com.loan.cash.credit.okash.nigeria,OKash: Safe and reliable loan,OPay Microfinance Bank Limited,"10,000,000+",399267.0,159816,4.5640693,Finance
NEM Insurance,com.lenddo.mobile.paylater,Carbon: Mobile Banking & Loans,Carbon Microfinance Bank,"5,000,000+",168371.0,87838,3.8430493,Finance
PaddyCover,com.piggybankng.piggy,PiggyVest: Save & Invest Today,Piggytech Global Ltd.,"1,000,000+",99372.0,37662,4.491904,Finance
Prudential Zenith Life,com.zenithBank.eazymoney,Zenith Bank Mobile App,Zenith Bank,"10,000,000+",51145.0,22865,4.1585174,Finance
PaddyCover,com.cousant.naijainvest,i-invest: Invest & Save,Parthian Partners,"100,000+",1958.0,1036,4.1213875,Finance
RelianceHMO,com.transsion.oraimohealth,oraimo health,ORAIMO TECHNOLOGY LIMITED,"1,000,000+",15875.0,754,4.4401913,Health & Fitness
Old Mutual Nigeria,com.chd.investnaija.invest_naija,InvestNaija: Learn & Invest.,InvestIN LTD.,"500,000+",1373.0,739,3.5546875,Finance
Reliance Health,com.reliancehmo.app,Reliance Care,Reliance Health,"100,000+",1561.0,637,3.910828,Health & Fitness
Leadway Assurance,com.leadway.pensure,Pensure,Leadway Pensure PFA,"100,000+",858.0,502,2.960396,Finance
Tangerine Life,notion.id,"Notion: Notes, Tasks, AI","Notion Labs, Inc.","10,000,000+",377660.0,488,4.6590037,Productivity
Tangerine Life,co.uk.getmondo,Monzo Bank - Mobile Banking,Monzo,"10,000,000+",178727.0,314,4.7166667,Finance
Clearline HMO,com.microsoft.azure.mobileapps.hymobile,Hygeia Mobile,Hygeia HMO,"100,000+",478.0,280,3.68,Health & Fitness
Casava insurance,com.leadway.health,Leadway Health,Leadway Assurance Company Ltd.,"100,000+",348.0,213,2.7572815,Health & Fitness
insurance Nigeria,app.axamansard.myaxa,MyAXA Plus,AXA Mansard (Nigeria),"100,000+",418.0,207,3.43,Finance
FBN Insurance,com.fbn.FBNDirect,FBNDirect,FirstBank Nigeria,"100,000+",588.0,198,4.04,Finance
Sovereign Trust Insurance,com.sofrimobileapp,Sofri Trust,SofriSofri,"100,000+",428.0,184,3.87,Finance
Leadway Health,com.leadway.mylifematter,myLife+,Leadway Assurance Company Ltd.,"50,000+",350.0,182,3.1,Finance
PaddyCover,com.wiseki.sekiapp,SekiApp: Buy and Sell Giftcard,SekiApp,"50,000+",386.0,171,4.54,Finance
ETAP car insurance,com.grabtaxi.passenger,Grab - Taxi & Food Delivery,Grab Holdings,"100,000,000+",16533086.0,123,4.773585,Travel & Local
Custodian Insurance,com.adapt,Adapt,Custodian Investment Plc,"10,000+",179.0,117,3.42,Lifestyle
Tangerine Life,com.finch.finch,Finch: Self-Care Pet,Finch Care Public Benefit Corporation,"10,000,000+",602190.0,110,4.79,Health & Fitness
car insurance Nigeria,com.autochek.buysalefixcars,Autochek - Auto Sales & Loans,Autochek,"100,000+",350.0,95,3.81,Finance
Avon HMO,com.nemhmo.mobile,NEM Health Mobile,Health Insurance,"50,000+",165.0,66,3.92,Health & Fitness
MyCover.ai,com.feraset.tune,AI Cover & Songs: Music AI,FERASET,"1,000,000+",141587.0,66,4.21,Music & Audio
Sovereign Trust Insurance,com.cwg.trustbanc,Prime By TrustBanc,TrustBanc,"5,000+",77.0,46,4.4444447,Finance
Prudential Zenith Life,com.cyberspace.quantum_zenith,Quantum Zenith,Cyberspace,"10,000+",68.0,40,3.7076924,Finance
Cornerstone Insurance,com.csod.learning,Cornerstone OnDemand,"Cornerstone OnDemand, Inc.","1,000,000+",9225.0,29,4.6792455,Education
NEM Insurance,app.kids360.parent,Kids360: Parental Control App,MINDCARE LAB LTD,"10,000,000+",287734.0,25,4.51,Parenting
Mutual Benefits Assurance,com.safamdigital.mbaclient,Mutual Benefits,SAFAM DIGITAL,"5,000+",35.0,23,2.7428572,Finance
Casava insurance,com.finceptive.casa,Casa Bank,Casa Bank,"5,000+",34.0,22,3.6764705,Finance
AIICO Insurance,com.aiicocapital.aiicoinvest,AIICO Invest,AIICO Capital,"5,000+",27.0,17,4.3333335,Finance
Custodian Insurance,com.custodian.investment.live,Custodian Investment,Custodian Investment Plc,"5,000+",26.0,16,3.8846154,Productivity
ETAP car insurance,com.etapapp,ETAP,ETAP INSURE,"5,000+",34.0,14,4.677419,Finance
Wella Health,com.wellahealth.wellareport,WellaPartner,WellaHealth Technologies,"1,000+",29.0,13,4.571429,Medical
MyCover.ai,com.mycovergenius.genius_app,MyCover - Personal Insurance,MyCoverGenius Ltd,"1,000+",29.0,13,4.2413793,Finance
FBN Insurance,com.sanlamallianz.connect.ng,Sanlam Connect,SanlamAllianz Nigeria,"10,000+",19.0,12,3.4117646,Business
Heirs Insurance,com.heirsinsurance.agency.app,Agency App by Heirs- Beta,HEIRS GENERAL INSURANCE LIMITED,"5,000+",39.0,11,3.7948718,Finance
AIICO Insurance,com.aiicoplc.aiico.app,AIICO EXPRESS,AIICO Insurance Plc,"1,000+",30.0,10,4.4666667,Finance
Clearline HMO,com.mesiot.hallmarkhmo,Hallmark HMO,Consolidated Hallmark Insurance Ltd,"5,000+",22.0,10,4.181818,Health & Fitness
Casava insurance,com.marshmallow.marshmallow,Marshmallow Insurance,Marshmallow Insurance,"100,000+",12183.0,10,4.6458335,Finance
Hygeia HMO,com.phillipshmo,Phillips HMO Mobile,Phillips Health Management Service,"5,000+",28.0,9,3.4285715,Health & Fitness
Leadway Health,com.leadway.tenency,Leadway PMA,Leadway Assurance Company Ltd.,"5,000+",26.0,9,3.9230769,Business
Heirs Insurance,com.ipru.iciciprulife.customer.release,ICICI Prudential Life App,ICICI Prudential Life Insurance,"1,000,000+",95139.0,7,4.7222223,Finance
car insurance Nigeria,com.sk.nigeria.used.cars,Used Cars in Nigeria,Shibly Khan,"1,000+",71.0,5,4.517857,Auto & Vehicles
car insurance Nigeria,com.icarslist.nigeriacarmart,Nigeria Car Mart,iCarsList Network,"5,000+",13.0,5,4.4615383,Auto & Vehicles
Mutual Benefits Assurance,com.mutualbenefitsmfb.mutualbenefitsmfbmobile,Mutual Benefits MFB,Mutual Benefits MFB,"1,000+",8.0,4,3.375,Finance
MyCoverGenius,com.shipafrika.roro,myRORO,Ship Afrika LLC,"1,000+",21.0,3,4.5454545,Business
Hygeia HMO,com.clearV2.line,Clearline HMO APP,Health Insurance,"5,000+",15.0,3,4.642857,Health & Fitness
RelianceHMO,com.reliancehmo.rhmo_doctor,RelianceCare for Doctors,Reliance Health,"1,000+",11.0,2,4.181818,Health & Fitness
ETAP car insurance,com.kineapps.mycar,My Car - Car Management,KineApps Ltd,"500,000+",5525.0,1,4.6,Auto & Vehicles
Cornerstone Insurance,com.cornerstone.insurance,Cornerstone Insurance Plc,Cornerstone Insurance,"1,000+",6.0,1,3.5,Business
Octamile,com.octagonafrica.octagon_africa,Octagon Africa,Octagon Africa Financial Services Ltd,"1,000+",,0,,Finance
ETAP car insurance,hobbiton.gari_client_app,Gari Motor Insurance,Hobbiton,"10,000+",,0,,Finance
MyCoverGenius,com.theunitedinsurance.myuic,myUIC: General Insurance,United Software & Technologies International,"50,000+",,0,,Finance
MyCoverGenius,ai.mycover.songmaker,MyCover - AI Song Maker,3B AI Melody Studio,"10,000+",,0,,Music & Audio
Casava insurance,com.chuuma.chuuma_mobile,Chuuma,Chuuma Labs,"1,000+",,0,,Finance
Octamile,com.octaplus.app,Octaplus App,Rx Health Info Systems,50+,,0,,Health & Fitness
Octamile,com.aihackathonkarisacikartim.god2,Octa: AI Song & Music Maker,Octaverum,"1,000+",,0,,Music & Audio
Octamile,io.automile.automilepro,Automile,Automile,"50,000+",,0,,Business
MyCover.ai,com.maytronics.mycover,MyCover,MaytronicsApps,"5,000+",,0,,House & Home
Wella Health,com.wellahero.app,Wella HERO,Wella Company,"1,000+",,0,,Beauty
Wella Health,com.walaa.cchi,Walaa Health,Walaa Cooperative Insurance Co,"5,000+",,0,,Finance
Wella Health,com.rumbl.wellhealth,Well Health,Golyv,100+,,0,,Health & Fitness
Custodian Insurance,com.inventivehack.custodian,Custodian Coach,Custodian Hub de Innovación,"1,000+",,0,,Productivity
Cornerstone Insurance,com.subsplash.thechurchapp.cornerstonechapel,Cornerstone Chapel,Subsplash Inc,"10,000+",,0,,Education
Custodian Insurance,com.insuranceop.app,Insurance Operation,JSC TBC Insurance,"1,000+",,0,,Business
NEM Insurance,mobi.nemi,Nemi,Nemi Mobility Solutions SL,"10,000+",,0,,Maps & Navigation
Cornerstone Insurance,com.apollos.cornerstonecommunitychurch,Cornerstone Wildomar,CORNERSTONE COMMUNITY CHURCH OF WILDOMAR,500+,,0,,Lifestyle
Axa Mansard Health,com.ejada.axaeg,MyAXA Egypt,AXA Egypt,"500,000+",,0,,Business
Avon HMO,com.oplayer.avonsmart,AVON SMART V2,Smart-Wearables,"500,000+",,0,,Health & Fitness
Reliance Health,com.reliance.hnhospital,RelianceFoundationHospital-RFH,Sir H N Reliance Foundation Hospital,"100,000+",,0,,Health & Fitness
Reliance Health,com.reliancefs.reliancefsmobile,Reliance Mobile app,Reliance Mobile app,"1,000+",,0,,Finance
Axa Mansard Health,com.agh.ipmi.prod,AXA - Global Healthcare,AXA - Global Healthcare,"10,000+",,0,,Finance
AIICO Insurance,com.aiconomy.aicomobileapp,aico,aico,100+,,0,,Business
Axa Mansard Health,com.axaassistance.cardmemberbenefits,AXA Cardmember Benefits,AXA Assistance US,"50,000+",,0,,Finance
AIICO Insurance,com.aiico.insurego,InsureGO,AIICO Insurance Plc,100+,,0,,Finance
Heirs Insurance,com.hayah.hayah,HAYAH Insurance,developerhayah,"1,000+",,0,,Finance
FBN Insurance,com.learnzapp.insurance,Insurance Exam Prep Pro,LearnZapp,"5,000+",,0,,Education
FBN Insurance,com.bajaj.life,Bajaj Life Insurance,Bajaj Life Insurance Limited,"500,000+",,0,,Finance
Mutual Benefits Assurance,com.mobile.mutualbenefits,Mutual Benefits,"Generations Gold, Inc.",500+,,0,,Lifestyle
Sovereign Trust Insurance,com.trustcyprusinsurance.app,myTrust,Trust Insurance Cyprus,50+,,0,,Finance
Sovereign Trust Insurance,fr.e_trust,E-Trust,Gaspard Toussaint,"1,000+",,0,,Productivity
Prudential Zenith Life,com.zenithagent.zenithagentapp,Zenith Islami Life Agent App,Zenith Life,"1,000+",,0,,Finance
Prudential Zenith Life,com.prud.zm,Prudential Insurance - Zambia,Pru,"50,000+",,0,,Business
Mutual Benefits Assurance,com.mirae.investor.app,Mirae Asset Mutual Fund,MIRAE ASSET INVESTMENT MANAGERS (INDIA) PVT LTD,"500,000+",,0,,Finance
Old Mutual Nigeria,com.oldmutual.pensions.app,My OldMutual GH,Old Mutual Ghana,"5,000+",,0,,Finance
Old Mutual Nigeria,com.app.oldmutual_ke,Old Mutual Invest,Old Mutual Investment Group (Kenya),"10,000+",,0,,Finance
Tangerine Life,com.tangerine.tangerinelife,Tangerine Life,Tangerine Life Insurance Limited,1+,,0,,Finance
Old Mutual Nigeria,com.ocft.dae,Old Mutual InteGreat,OLD MUTUAL LIFE ASSURANCE COMPANY,"10,000+",,0,,Finance
insurance Nigeria,mobi.mywealthpro,My-Insurance,Datacomp,"10,000+",,0,,Business
insurance Nigeria,com.united.uic,The United Insurance,The United Insurance Company,"10,000+",,0,,Finance
health insurance Nigeria,com.nhia.mobile.android,MyNHIA,NATIONAL HEALTH INSURANCE AUTHORITY.,"5,000+",,0,,Health & Fitness
