search_term,app_id,title,developer,installs,n_ratings,n_reviews,score,genre,keep
Jaiz Takaful,com.jaizbank.app,Jaiz Mobile Plus,Jaiz Bank Plc,"1,000,000+",5244.0,2235,3.49,Finance,True
Reliance Health HMO,com.reliancehmo.app,Reliance Care,Reliance Health,"100,000+",1561.0,637,3.910828,Health & Fitness,True
Reliance Health HMO,com.microsoft.azure.mobileapps.hymobile,Hygeia Mobile,Hygeia HMO,"100,000+",478.0,280,3.68,Health & Fitness,True
Integrated Healthcare Nigeria,com.leadway.health,Leadway Health,Leadway Assurance Company Ltd.,"100,000+",348.0,213,2.7572815,Health & Fitness,True
health insurance Nigeria,app.axamansard.myaxa,MyAXA Plus,AXA Mansard (Nigeria),"100,000+",418.0,207,3.43,Finance,True
Enterprise Life Nigeria,com.leadway.mylifematter,myLife+,Leadway Assurance Company Ltd.,"50,000+",350.0,182,3.1,Finance,True
Custodian Insurance Nigeria,com.heirsinsurance.retail.app,SimpleLife by Heirs Insurance,HEIRS GENERAL INSURANCE LIMITED,"50,000+",211.0,126,2.99,Finance,True
Coronation Insurance,ng.coronation.shareholderlive,Coronation ShareholderLive,Coronation Registrars,"10,000+",148.0,103,2.73,Finance,True
Coronation Insurance,com.trium_digital.wealth_app,Coronation Wealth,WEALTH BY CORONATION LIMITED,"10,000+",151.0,98,3.14,Finance,True
Veritas Kapital Assurance,com.veritasmobileapp,Veritas Glanvills Pensions,Veritas Glanvills Pensions,"50,000+",160.0,78,4.5,Finance,True
Jaiz Takaful,com.jaiz.mobiletoken,Jaiz eToken,Jaiz Bank Plc,"100,000+",164.0,70,3.29,Finance,True
Avon HMO,com.nemhmo.mobile,NEM Health Mobile,Health Insurance,"50,000+",165.0,66,3.92,Health & Fitness,True
Veritas Kapital Assurance,ru.gigabyte_artur.gigabyte_artur,Veritas,AAA+,"10,000+",122.0,40,4.0,Educational,True
Enterprise Life Nigeria,com.digicore.advantageapp,AdvantageConnect,Enterprise Life Assurance Nigeria,"10,000+",78.0,36,4.571429,Finance,True
Avon Healthcare,com.avonhealthcare.avon,Avon Flex,AVON HMO,"10,000+",79.0,34,4.0,Health & Fitness,True
Zenith Medicare,com.venusmedicare.hmo,Venus Medicare HMO,LionTech Systems,"5,000+",71.0,30,4.2173915,Health & Fitness,True
Enterprise Life Nigeria,com.enterpriselife,AdvantageConnect LifePlanner,Enterprise Life Assurance Nigeria,"1,000+",47.0,30,5.0,Finance,True
Mutual Benefits Assurance,com.safamdigital.mbaclient,Mutual Benefits,SAFAM DIGITAL,"5,000+",35.0,23,2.7428572,Finance,True
AIICO Multishield,com.aiicocapital.aiicoinvest,AIICO Invest,AIICO Capital,"5,000+",27.0,17,4.3333335,Finance,True
Custodian Insurance Nigeria,com.custodian.investment.live,Custodian Investment,Custodian Investment Plc,"5,000+",26.0,16,3.8846154,Productivity,True
Sanlam Nigeria,za.co.sanlam.mobile,Sanlam Portfolio,Sanlam,"100,000+",3959.0,16,3.7560976,Finance,True
Sanlam Nigeria,co.opensi.mobilsaham,Mobile Sanlam,OPEN SI,"50,000+",185.0,16,3.2162163,Business,True
ETAP insure,com.etapapp,ETAP,ETAP INSURE,"5,000+",34.0,14,4.677419,Finance,True
Wella Health Nigeria,com.wellahealth.wellareport,WellaPartner,WellaHealth Technologies,"1,000+",29.0,13,4.571429,Medical,True
Wapic Insurance,com.mycovergenius.genius_app,MyCover - Personal Insurance,MyCoverGenius Ltd,"1,000+",29.0,13,4.2413793,Finance,True
FBN Insurance,com.sanlamallianz.connect.ng,Sanlam Connect,SanlamAllianz Nigeria,"10,000+",19.0,12,3.4117646,Business,True
