search_term,app_id,title,developer,installs,n_ratings,n_reviews,score,genre,keep,role
Reliance Health HMO,com.reliancehmo.app,Reliance Care,Reliance Health,"100,000+",1561.0,637,3.910828,Health & Fitness,True,consumer
Reliance Health HMO,com.microsoft.azure.mobileapps.hymobile,Hygeia Mobile,Hygeia HMO,"100,000+",478.0,280,3.68,Health & Fitness,True,consumer
Integrated Healthcare Nigeria,com.leadway.health,Leadway Health,Leadway Assurance Company Ltd.,"100,000+",348.0,213,2.7572815,Health & Fitness,True,consumer
health insurance Nigeria,app.axamansard.myaxa,MyAXA Plus,AXA Mansard (Nigeria),"100,000+",418.0,207,3.43,Finance,True,consumer
Enterprise Life Nigeria,com.leadway.mylifematter,myLife+,Leadway Assurance Company Ltd.,"50,000+",350.0,182,3.1,Finance,True,consumer
Custodian Insurance Nigeria,com.heirsinsurance.retail.app,SimpleLife by Heirs Insurance,HEIRS GENERAL INSURANCE LIMITED,"50,000+",211.0,126,2.99,Finance,True,consumer
Avon HMO,com.nemhmo.mobile,NEM Health Mobile,Health Insurance,"50,000+",165.0,66,3.92,Health & Fitness,True,consumer
Enterprise Life Nigeria,com.digicore.advantageapp,AdvantageConnect,Enterprise Life Assurance Nigeria,"10,000+",78.0,36,4.571429,Finance,True,consumer
Avon Healthcare,com.avonhealthcare.avon,Avon Flex,AVON HMO,"10,000+",79.0,34,4.0,Health & Fitness,True,consumer
Zenith Medicare,com.venusmedicare.hmo,Venus Medicare HMO,LionTech Systems,"5,000+",71.0,30,4.2173915,Health & Fitness,True,consumer
Enterprise Life Nigeria,com.enterpriselife,AdvantageConnect LifePlanner,Enterprise Life Assurance Nigeria,"1,000+",47.0,30,5.0,Finance,True,consumer
Mutual Benefits Assurance,com.safamdigital.mbaclient,Mutual Benefits,SAFAM DIGITAL,"5,000+",35.0,23,2.7428572,Finance,True,consumer
ETAP insure,com.etapapp,ETAP,ETAP INSURE,"5,000+",34.0,14,4.677419,Finance,True,consumer
Wapic Insurance,com.mycovergenius.genius_app,MyCover - Personal Insurance,MyCoverGenius Ltd,"1,000+",29.0,13,4.2413793,Finance,True,consumer
FBN Insurance,com.sanlamallianz.connect.ng,Sanlam Connect,SanlamAllianz Nigeria,"10,000+",19.0,12,3.4117646,Business,True,consumer
Clearline HMO,com.mesiot.hallmarkhmo,Hallmark HMO,Consolidated Hallmark Insurance Ltd,"5,000+",22.0,10,4.181818,Health & Fitness,True,consumer
AIICO Insurance,com.aiicoplc.aiico.app,AIICO EXPRESS,AIICO Insurance Plc,"1,000+",30.0,10,4.4666667,Finance,True,consumer
Capital Express Assurance,com.algora.capitalexpress,Capital Express,capexappdev,"1,000+",18.0,10,4.117647,Finance,True,consumer
Anchor Insurance Nigeria,com.anchorhmo.app,Anchor Mobile,Health Insurance,"5,000+",18.0,9,3.235294,Health & Fitness,True,consumer
Mediplan Healthcare,com.mediplan.mobile,Mediplan,Health Insurance,"5,000+",9.0,4,4.2222223,Health & Fitness,True,consumer
Hygeia HMO,com.clearV2.line,Clearline HMO APP,Health Insurance,"5,000+",15.0,3,4.642857,Health & Fitness,True,consumer
SUNU Assurances Nigeria,com.sunuhealth.app,SUNU Health,SUNU Health Nigeria Limited,"1,000+",8.0,3,3.125,Health & Fitness,True,consumer
NSIA Insurance Nigeria,official.nsia.app,NSIA Insurance NG,NSIA INSURANCE APP,"1,000+",11.0,3,4.3333335,Finance,True,consumer
Cornerstone Insurance,com.cornerstone.insurance,Cornerstone Insurance Plc,Cornerstone Insurance,"1,000+",6.0,1,3.5,Business,True,consumer
PaddyCover,team.opay.pay,OPay,OPay Digital Services Limited,"50,000,000+",1088538.0,407062,4.5106144,Finance,False,not_ng_insurance
Total Health Trust,com.whatsapp.w4b,WhatsApp Business,WhatsApp LLC,"1,000,000,000+",23620852.0,312134,4.490364,Communication,False,not_ng_insurance
NEM Insurance,com.lenddo.mobile.paylater,Carbon: Mobile Banking & Loans,Carbon Microfinance Bank,"5,000,000+",168371.0,87838,3.8430493,Finance,False,not_ng_insurance
Allianz Nigeria,com.alibaba.aliexpresshd,AliExpress - Shopping App,Alibaba Mobile,"500,000,000+",16292876.0,59443,4.531432,Shopping,False,not_ng_insurance
Bastion Health,com.moniepoint.business,Moniepoint Business Banking,Moniepoint,"10,000,000+",244128.0,43635,4.598679,Finance,False,not_ng_insurance
PaddyCover,com.piggybankng.piggy,PiggyVest: Save & Invest Today,Piggytech Global Ltd.,"1,000,000+",99372.0,37662,4.491904,Finance,False,not_ng_insurance
third party insurance Nigeria,com.renmoney.android,Renmoney: Loan & Savings App,Renmoney MFB,"1,000,000+",51985.0,25502,4.361046,Finance,False,not_ng_insurance
THT Nigeria health,com.linkedin.android,LinkedIn: Community & Network,LinkedIn,"1,000,000,000+",3476875.0,24235,4.046293,Business,False,not_ng_insurance
Zenith General Insurance,com.zenithBank.eazymoney,Zenith Bank Mobile App,Zenith Bank,"10,000,000+",51147.0,22865,4.159705,Finance,False,not_ng_insurance
KBL Insurance,com.sofascore.results,Sofascore: Live Sports Scores,Sofascore,"100,000,000+",1142057.0,17878,4.3552833,Sports,False,not_ng_insurance
Sterling Health HMO,com.sterlingng.sterlingmobile,Sterling OneBank,Sterling Bank Plc,"1,000,000+",33627.0,15803,3.8901098,Finance,False,not_ng_insurance
